IRC_Weight	Accuracy
0.0		0.629
0.1		0.758
0.2		0.751
0.3		0.753
0.4		0.739
0.5		0.642
0.6		0.624
0.7		0.596
0.8		0.624
0.9		0.602
1.0		0.558
