IRC_Weight	Accuracy
0.0		0.786
0.1		0.826
0.2		0.826
0.3		0.825
0.4		0.827
0.5		0.786
0.6		0.772
0.7		0.772
0.8		0.767
0.9		0.772
1.0		0.728
