IRC_Weight	Accuracy
0.0		0.821
0.1		0.865
0.2		0.858
0.3		0.863
0.4		0.861
0.5		0.819
0.6		0.821
0.7		0.803
0.8		0.824
0.9		0.805
1.0		0.811
