IRC_Weight	Accuracy
0.0		0.754
0.1		0.884
0.2		0.885
0.3		0.885
0.4		0.885
0.5		0.856
0.6		0.844
0.7		0.843
0.8		0.843
0.9		0.845
1.0		0.775
