IRC_Weight	Accuracy
0.0		0.599
0.1		0.722
0.2		0.723
0.3		0.723
0.4		0.711
0.5		0.615
0.6		0.575
0.7		0.572
0.8		0.571
0.9		0.575
1.0		0.446
